id,13,0,5

### 翻译贡献者 / Translators

## TOH
#13 SChinese: fivefirex & ZeMing & OH233 &  2T & MC-AS-Huier & xiaojin & xyjx001& Tanakanira

## TOHE
#13 SChinese: KARPED1EM
#00 English: Tommy-XL (@Tommy-XL)
#05 Russian: Tommy-XL (@Tommy-XL) & Tem (@mogekonik1)

### If you want to translate the mod into other languages -
### here is the 'id' of all supported languages:
### English = 0 / Latam = 1 / Brazilian = 2 / Portuguese = 3
### Korean = 4 / Russian = 5 / Dutch = 6 / Filipino = 7
### French = 8 / German = 9 / Italian = 10 / Japanese = 11
### Spanish = 12 / SChinese = 13 / TChinese = 14 / Irish = 15

### 生草作者你好呀！
### 其实一直想跟你道个谢，毕竟翻译是一件很累的事情
### 即便如此，你还是选择来支持我这个微不足道的小模组
### TOHE因你变得更好、变得更加强大啦
### 或许我们在未来的路上会经历许多坎坷，或许TOHE的昙花一现就此落幕
### 但感谢有你，感谢TOHE短暂的生命中的每一位过客

## 作者署名（会显示在右上角，不需要请留空）/ A sign of an author (Please leave blank when not needed)
TextBelowVersionText,,"<color=#0FE60F>Dev:</color> KARPED1EM","<color=#0FE60F>Разраб:</color> KARPED1EM\n<color=#06DEEC>Перевод:</color> TommyXL & Tem"

# 阵营 / Teams
TeamImpostor,内鬼阵营,Team Impostor,Команда Предателей
TeamNeutral,中立阵营,Neutral,Нейтрал
TeamJackal,豺狼阵营,Team Jackal,Команда Шакалов
TeamPelican,鹈鹕阵营,Team Pelican,Команда Пеликанов
TeamGamer,玩家阵营,Team Demons,Команда Демонов

## 个人竞技模式 / PVP
KB_Normal,挑战者,Challenger
KB_NormalInfo,击败所有人！,Kill all of them!

## 职业 / Roles

# 其它 / Other
GM,管理员,GM,GM (Призрак)

# 隐藏 / Hidden
Sunnyboy,阳光开朗大男孩

# 原版职业 / Vanilla
Crewmate,船员,Crewmate,Член Экипажа
Engineer,工程师,Engineer,Инженер
Scientist,科学家,Scientist,Ученый
GuardianAngel,守护天使,Guardian Angel,Ангел-хранитель
Impostor,内鬼,Impostor,Предатель
Shapeshifter,变形者,Shapeshifter,Оборотень

# 内鬼阵营 / Impostors
BountyHunter,赏金猎人,Bounty Hunter,Охотник за Головами
Mare,梦魇,Mare,Ночной
FireWorks,烟花商人,Fireworker,Фейерверк
SerialKiller,嗜血杀手,Serial Killer,Серийный Убийца
ShapeMaster,千面鬼,ShapeMaster,Шпион
Vampire,吸血鬼,Vampire,Вампир
Warlock,术士,Warlock,Колдун
Assassin,刺客,Assassin,Ассасин
Zombie,僵尸,Zombie,Зомби
Hacker,骇客,Hacker,Хакер
Miner,矿工,Miner,Шахтер
Minimalism,杀戮机器,Killing Machine,Машина для Убийств
Escapee,逃逸者,Escapist,Беглец
Witch,女巫,Witch,Ведьма
Mafia,黑手党,Mafia,Мафия
Puppeteer,傀儡师,Puppeteer,Кукловод
TimeThief,蚀时者,Time Thief,Вор Времени
Sniper,狙击手,Sniper,Снайпер
EvilTracker,追踪者,Evil Tracker,Злой Трекер
EvilGuesser,邪恶赌怪,Evil Guesser,Злой Угадыватель
AntiAdminer,监管者,Anti Adminer,Анти Админер
Sans,狂妄杀手,Arrogance,Высокомер
Bomber,自爆兵,Bomber,Бомбер
Scavenger,清道夫,Scavenger,Уборщик
BoobyTrap,诡雷,Booby Trap,Мина Ловушка
Capitalism,资本家,Capitalist,Капиталист
Gangster,教父,Gangster,Гангстер
Cleaner,清理工,Cleaner,Очиститель
Messenger,情报贩子,Informant,Информатор
BallLightning,球状闪电,Lightning,Молния
Greedier,贪婪者,Greedy,Жадина
CursedWolf,呪狼,Cursed Wolf,Проклятый Волк
ImperiusCurse,夺魂者,Soul Catcher,Ловец Душ
QuickShooter,快枪手,Quick Shooter,Стрелок
Concealer,隐蔽者（损坏）,Concealer (Broken),Консилер (Сломан)
Eraser,抹除者,Eraser,Стирачка
OverKiller,肢解者,Butcher,Мясник
Hangman,刽子手,Hangman,Вешатель

# 船员阵营 / Crewmates
Bait,诱饵,Bait,Байт
Luckey,幸运儿,Luckey,Удачник
Needy,摆烂人,Lazy Guy,Ленивый Парень
SuperStar,大明星,Super Star,Супер Звезда
CyberStar,网红,Celebrity,Знаменитость
SwordsMan,侠客,Knight,Рыцарь
Mayor,市长,Mayor,Мэр
Paranoia,被害妄想症,Paranoid,Параноик
Psychic,愚者,Psychic,Экстрасенс
SabotageMaster,修理工,Repairman,Ремонтник
Sheriff,警长,Sheriff,Шериф
Snitch,告密者,Snitch,Снитч
SpeedBooster,增速者,Speed Booster,Ускоритель
Doctor,法医,Doctor,Доктор
Trapper,陷阱师,Beartrap,Траппер
Dictator,独裁者,Dictator,Диктатор
Detective,侦探,Detective,Детектив
NiceGuesser,正义赌怪,Nice Guesser,Добрый Угадыватель
Transporter,传送师,Transporter,Транспортер
TimeManager,时间操控者,Time Manager,Мастер Времени
Veteran,老兵,Veteran,Ветеран
Bodyguard,保镖,Bodyguard,Телохранитель
Counterfeiter,赝品商,Deceiver,Обманщик
Grenadier,掷雷兵,Grenadier,Гренадёр
Medicaler,医生,Medic,Медик
Divinator,占卜师,Fortune Teller,Гадалка
Glitch,活死人,The Glitch,Глитч
Judge,法官
Mortician,入殓师
Mediumshiper,通灵师

# 中立阵营 / Neutrals
Jester,小丑,Jester,Джестер
Arsonist,纵火犯,Arsonist,Поджигатель
Terrorist,恐怖分子,Terrorist,Террорист
Executioner,处刑人,Executioner,Палач
Opportunist,投机者,Opportunist,Выживший
Mario,马里奥,Mario,Марио
Jackal,豺狼,Jackal,Шакал
God,神,God,Бог
Innocent,冤罪师,Innocent,Невинный
Pelican,鹈鹕,Pelican,Пеликан
Revolutionist,革命家,Revolutionist,Революционер
FFF,FFF团,Hater,Ненавистник
Konan,柯南,Konan,Конан
Gamer,玩家,Demon,Демон
DarkHide,潜藏者,Stalker,Сталкер
Workaholic,工作狂,Workaholic,Трудоголик
Collector,集票者,Collector,Коллектор
Provocateur,自爆卡车,Provocateur,Провокатор

# 附加职业 / Add-ons
LastImpostor,绝境者,Last Impostor,Последний Предатель
Lovers,恋人,Lovers,Любовники
Madmate,叛徒,Madmate,Безумец
Ntr,海王,Neptune,Нептун
Watcher,窥视者,Watcher,Наблюдатель
Flashman,闪电侠,Flash,Флэш
Lighter,执灯人,Lighter,Фонарик
Seer,灵媒,Seer,Провидец
Brakar,破平者,Tiebreaker,Решающий
Oblivious,胆小鬼,Oblivious,Забывчивый
Bewilder,迷幻者,Bewilder,Сбитый с Толку
Workhorse,加班狂,Workhorse,Работник
Fool,蠢蛋,Fool,Глупец
Avanger,复仇者,Avenger,Мститель
Youtuber,UP主,YouTuber,Ютубер
Egoist,利己主义者,Egoist,Эгоист
Piper,吹笛者,Piper,Пайпер
TicketsStealer,窃票者,Stealer,Похититель
DualPersonality,双重人格,Schizophrenic,Шизофреник
Mimic,宝箱怪,Mimic,Мимик

## 附加职业作为前缀时 / Prefixes for Add-ons

Prefix.Ntr,海王,Neptune,Нептун
Prefix.Watcher,窥视,Watcher,Наблюдатель
Prefix.Flashman,闪电,Flash,Флэш
Prefix.Lighter,执灯,Lighter,Фонарик
Prefix.Seer,灵媒,Seer,Провидец
Prefix.Brakar,破平,Tiebreaker,Решающий
Prefix.Oblivious,胆小,Oblivious,Забывчивый
Prefix.Bewilder,迷幻,Bewilder,Сбитый с Толку
Prefix.Workhorse,加班狂,Workhorse,Работник
Prefix.Fool,蠢蛋,Fool,Глупец
Prefix.Avanger,复仇,Avenger,Мститель
Prefix.Youtuber,UP主,YouTuber,Ютубер
Prefix.Egoist,利己主义,Egoist,Эгоист
Prefix.Piper,吹笛,Piper,Пайпер
Prefix.TicketsStealer,窃票,Stealer,Похититель
Prefix.DualPersonality,双重人格,Schizophrenic,Шизофреник
Prefix.Mimic,宝箱怪,Mimic,Мимик

