"id","0","11","13","14","5","2","3"
"## Translators"
"#5  RusTranslation: Tommy-XL"
"#13 SChinese:fivefirex&ZeMingOH233  2T&MC-AS-Huier&xiaojin xyjx001(Edit: Tanakanira)"
"#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)"

"## 役職"
"Neutral","Neutral","ニュートラル","独立","中立陣營","Нейтралов","Neutro",""

"# バニラ役職"
"Crewmate","Crewmate","クルーメイト","船员","船員","Член Экипажа","Tripulante","Tripulante"
"Engineer","Engineer","エンジニア","工程师","工程師","Инженер","Engenheiro","Engenheiro"
"Scientist","Scientist","科学者","科学家","科學家","Ученый","Cientista","Cientista"
"Noisemaker","Noisemaker","ノイズメーカー","","","","",""
"Tracker","Tracker","トラッカー","","","","",""
"GuardianAngel","Guardian Angel","守護天使","守护天使","守護天使","Ангел-хранитель","Anjo da Guarda","Anjo da Guarda"
"Impostor","Impostor","インポスター","内鬼","偽裝者","Предателей","Impostor","Impostor"
"Shapeshifter","Shapeshifter","シェイプシフター","变形者","變形者","Оборотень","Metamorfo","Metamorfo"
"Phantom","Phantom","亡霊","","","","",""

"# 特殊インポスター役職"
"BountyHunter","Bounty Hunter","バウンティハンター","赏金猎人","賞金獵人","Охотник за головами","Caçador de Recompensas","Caçador de Recompensas"
"Mare","Mare","メアー","梦魇","獵夢者","Ночной","Mare","Mare"
"FireWorks","Fireworker","花火職人","烟花商人","煙火工匠","Фейерверк","Fogos de Artifício","Fogos de Artifício"
"SerialKiller","Serial Killer","シリアルキラー","嗜血杀手","嗜血殺手","Серийный Убийца","Serial Killer","Serial Killer"
"ShapeMaster","ShapeMaster","シェイプマスター","千面鬼","百變怪","Шпион","Metamorfo Mestre","Metamorfo Mestre"
"Vampire","Vampire","ヴァンパイア","吸血鬼","吸血鬼","Вампир","Vampiro","Vampiro"
"Warlock","Warlock","ウォーロック","术士","術士","Колдун","Mago","Mago"
"Witch","Witch","ウィッチ","女巫","女巫","Ведьма","Bruxo","Bruxo"
